trail_name,trail_distance,trail_ele_gain,trail_max_ele,trail_duration,trail_loop,trail_desc,trail_dist_mel,trail_time_mel,trail_species
Albert Park,3.8,6,21,3.8,one way,"Jog, cycle or walk with your dog around Albert Park Lake - just 3km from the centre of Melbourne. And when you stop to catch your breath, take a moment to enjoy the magnificent views of the city skyline. Albert Park is home to a plethora of events, from fun runs to cycling events, pet-friendly meetups and the iconic Australian Grand Prix. Set out on the Albert Park Lake Path and stop at the southern-end of Albert Park Lake to admire the views back towards Melbourne. Swim, dive or try out the indoor sports facilities and fitness gym at the Melbourne Sports and Aquatic Centre. Sign up for some sailing or rowing lessons, hire a boat or if you are a seasoned sailor or rower, join in on the weekly races and meets.",3,0.1,"Bushtail Possum, River Red Gum Tree, Marbled Gecko, Black Duck, Black Swans, Pacific Black Ducks, Australasian Grebe, Eurasian Coots, Australasian Swamphen, Dusky Moorhen"
Alpine National Park - Butcher Country Track,155.6,4490,1635,38.6,one way,"The Butcher Country Track is a challenging and scenic trek starting from Licola, navigating through the Macalister River with multiple crossings and steep climbs. This route offers adventurers the essence of the Alpine National Park, featuring lush bushland, rugged terrains, and the tranquility of less visited gems like Bryce's Gorge. The trek is ideal for those seeking a mix of 4WD adventures, bushwalking, and exploring historic sites like Wonnangatta Station under the stars.",254,3.5,"Alpine Ash, Snow Gums, Wombats, Eastern Grey Kangaroos"
Anakie Gorge Loop - Nelsons Lookout,11.3,304,365,2.77,one way,"The Anakie Gorge Walk in Brisbane Ranges National Park features a unique dry gorge landscape, allowing for an easy family-friendly stroll along Stony Creek. This scenic route is surrounded by diverse flora and fauna, including wallabies, koalas, and an array of birdlife. The walk is renowned for its natural beauty, offering an immersive outdoor experience close to nature.",80,1,"Eucalyptus, Acacias, Banksias, Cockatoos, Eastern Grey Kangaroos, Wallabies"
Ashburton - Glen Waverley - Koomba Park - Heathmont,23.7,229,136,5.12,closed loop,"A scenic bike path connecting Ashburton to Heathmont through Glen Waverley and Koomba Park, showcasing diverse landscapes. Suitable for various cycling levels.",17,0.25,"Eucalyptus, Banksias, Grevilleas, Possums, Eastern Grey Kangaroos, Kookaburras, Cockatoos, Lorikeets"
Canterbury - Gardiners Creek - Melbourne,32.9,255,66,7,closed loop,"This extended route provides cyclists with a diverse urban experience, traveling from the leafy suburb of Canterbury, meandering along the natural corridor of Gardiners Creek, and concluding in the bustling heart of Melbourne. The journey offers a mix of serene natural landscapes and urban environments, appealing to cyclists who appreciate both the tranquility of nature and the vibrancy of city life.",32.9,0.66,"River Red Gum, Swamp Paperbark, River Bottlebrush, Eastern Water Dragon, Pacific Black Duck, Australian Wood Duck, Eastern Long-Necked Turtle, Eastern Rosella"
Cape Paterson - Cape Liptrap Coastal Park,57.8,525,173,12.43,closed loop,"A journey from Cape Paterson to Cape Liptrap Coastal Park showcases the rugged beauty of Victoria's coastline. This route likely offers panoramic ocean views, diverse wildlife, and access to remote beaches.",140,2,"Coastal Heathlands, Eucalypt Forests, Sea Rush,  Sooty Oystercatcher, Pied Oystercatcher, Australian Fur Seals"
Capital City Trail,29.5,257,49,6.33,closed loop,"The Capital City Trail, encircling Melbourne's heart, serves as an urban exploration gateway, offering an immersive 29 km loop that blends city vibrancy with serene natural settings. This trail invites visitors to discover Melbourne's diverse landscapes, from bustling city corners to tranquil riverside paths and lush parklands. Key sights include cultural landmarks and natural wonders, making it a favored route for both leisurely strolls and invigorating rides, revealing the city's unique character through its scenic diversity and urban landmarks.",0,0,"Eucalyptus Trees, Banksias,Waratahs, Native Orchids, Cockatoos, Kookaburras, Echidnas, Blue-Tongued Lizards"
Cathedral Range - Neds Peak,5.5,447,747,1.85,closed loop,"The trek to Neds Peak within the Cathedral Range is a demanding yet rewarding experience, characterized by its steep, rocky paths that challenge even seasoned hikers. This journey not only tests physical endurance but also offers unparalleled views of the surrounding landscapes, making it a memorable adventure for those who undertake it. As hikers ascend, they're greeted by diverse ecosystems and the chance to observe wildlife, culminating in the spectacular panoramic sights from Neds Peak, a highlight of the Cathedral Range's natural beauty",120,2,"Eucalyptus Trees, Silver Banksia,Eastern Grey Kangaroo, Swamp Wallaby, Koala, Common Brushtail Possum, Superb Lyrebird, Crimson Rosellas, Sulphur-Crested Cockatoos, Eastern Yellow Robins, And Laughing Kookaburras"
Chatauqua Peak - Clematis Falls,6.1,235,404,1.61,closed loop,The hike from Chatauqua Peak to Clematis Falls in the Grampians National Park is a scenic journey showcasing the rugged beauty of the region. This route offers panoramic views from the peak and the tranquility of the falls.,260,3,"Douglas Fir, Ponderosa Pine, Quaking Aspen, Maple, Oak,  Lupine, Indian Paintbrush, Aster,Deer, Elk , Bears, Mountain Lions"
Coburg - Melbourne,38,333,66,8.15,one way,"A popular urban cycling route connecting Coburg to Melbourne's CBD, showcasing the city's suburbs and vibrant streets.",10,0.3,"Coburg, Banksia, Acacias,Kangaroo Paw, Grevillea, Rainbow Lorikeets, Cockatoos, Ringtail Possum, Brushtail Possum, Grey-Headed Flying Foxes, Geckos"
Dandenong Ranges Loop,12.1,359,491,3.02,closed loop,"The Dandenong Ranges National Park, located about 35 km east of Melbourne, offers a tranquil retreat with lush forests and fern gullies. It's ideal for hiking, picnicking, and birdwatching, featuring trails like the 1000 Steps Kokoda Track. The park is easily accessible for a day trip, presenting a moderate challenge for visitors. Best visited during spring or autumn for mild weather and blooming flora, key attractions include the Puffing Billy Railway and the Sherbrooke Forest.",35,1,"Mountain Ash, Sassafras, Mountain Laurel, Myrtle Beech, Superb Lyrebird, Eastern Grey Kangaroo, Sugar Glider, Leadbeater'S Possum, Powerful Owl"
Dandenong Ranges National Park,43.9,1383,576,11.08,closed loop,"The Dandenong Ranges National Park, located about 35 km east of Melbourne, offers a tranquil retreat with lush forests and fern gullies. It's ideal for hiking, picnicking, and birdwatching, featuring trails like the 1000 Steps Kokoda Track. The park is easily accessible for a day trip, presenting a moderate challenge for visitors. Best visited during spring or autumn for mild weather and blooming flora, key attractions include the Puffing Billy Railway and the Sherbrooke Forest.",35,1,"Mountain Ash, Sassafras, Mountain Plum Pine, Waratahs, Lyrebirds, Wallabies, Kangaroos, Sugar Gliders, Powerful Owls, Eastern Yellow Robins"
East Kiewa River Trail - Bogong Railhead Track,35.5,1336,707,9.33,closed loop,"The East Kiewa River Trail to Bogong Railhead Track offers an enchanting journey through the heart of Victoria's alpine country, inviting adventurers into a world where nature's beauty unfolds in all its splendor. This trail meanders alongside the gently flowing East Kiewa River, whose waters sparkle under the Australian sun, framed by towering gums and vibrant ferns. The path gradually ascends, revealing breathtaking views of the surrounding mountains, their peaks touching the sky. As the trail approaches the historic Bogong Railhead, hikers are transported back in time, with each step echoing the footsteps of those who ventured through these lands for gold and grazing. This track is not just a physical journey but a passage through the rich tapestry of Australian natural history and heritage, offering serene beauty, rugged landscapes, and a peaceful communion with the past.",100,1.75,"Bushlands, Kangaroos"
Four Brothers Rocks - Bunyip State Park,13.6,529,413,3.6,closed loop,"The trail leading to Four Brothers Rocks in Bunyip State Park is a mesmerizing trek through the wild and rugged beauty of Victoria's natural landscape. This journey takes you through dense eucalypt forests, where the air is filled with the crisp scent of gum leaves and the sounds of native birdsong. The trail undulates through the park, challenging hikers with its steep inclines and rewarding them with sweeping views of the surrounding bushland. The climax of the hike is the arrival at Four Brothers Rocks, a striking formation of granite boulders that have stood as silent sentinels over the landscape for millennia. Perched atop a hill, these ancient rocks offer panoramic vistas of the park and beyond, serving as a magnificent viewpoint and a testament to the timeless beauty of nature. Hiking to Four Brothers Rocks is not just a physical journey but a spiritual one, offering moments of reflection amidst the grandeur of Bunyip State Park.",65,1.5,"Eucalypt Forests, Fern Gullies, Kangaroos, Echidnas, Cockatoos, Kookaburras."
George Bass Coastal Walk,15.2,414,64,3.73,closed loop,"The George Bass Coastal Walk is a spectacular journey along one of Victoria's most scenic coastlines, offering breathtaking views of the Bass Strait's rugged beauty. This trail, named after the explorer George Bass, stretches over undulating cliffs, through lush coastal vegetation, and alongside secluded beaches that whisper tales of the sea's timeless journey. With each step, hikers are treated to the raw power of nature, from the thunderous roar of waves crashing against the rocks to the serene beauty of wildflowers swaying in the sea breeze. The walk is a harmonious blend of challenge and tranquility, providing an invigorating experience for the body and a peaceful retreat for the soul. It's a place where the vastness of the ocean meets the sky, inviting walkers to lose themselves in the horizon's endless blue. The George Bass Coastal Walk is not just a path but a voyage of discovery, revealing the untamed beauty of Victoria's coastline and the spirit of adventure that lies within us all.",100,1.75,"Coastal Banksia, Heathland Plants, Seabirds, Seals, Dolphins."
Great Ocean Walk - Milanesia Track - The Gables,15.9,752,166,4.43,one way,"Embarking on the Great Ocean Walk from the Milanesia Track to The Gables is an awe-inspiring experience that encapsulates the majestic beauty of Australia's southern coast. This segment of the trail offers an intimate encounter with the untamed beauty of the Great Ocean Road's hinterland, where the landscape is carved by the elements into breathtaking cliffs, serene coves, and sprawling forests. The journey from Milanesia, an isolated and seldom-visited beach that boasts rugged beauty and raw, natural charm, to The Gables, known for its spectacular cliff-top views, is a testament to the power and beauty of nature. The trail meanders through diverse ecosystems, each offering unique vistas and experiences�from the dense foliage of ancient rainforests to the windswept heights of coastal lookouts. As hikers traverse this path, they are greeted by the sounds of the ocean, the scent of eucalyptus, and the sight of the endless horizon, where the sky meets the sea. This portion of the Great Ocean Walk is more than a trail; it's an unforgettable journey through some of the most dramatic and beautiful landscapes Australia has to offer.",200,3,"Coastal Banksia, Heathland Plants, Seabirds, Seals, Dolphins."
Kyeema Track - Bourke's Lookout,4.2,147,620,1.08,closed loop,"The journey from Kyeema Track to Bourke's Lookout is an exquisite passage through the Dandenong Ranges, known for its dense forests, cool fern gullies, and the mist that often hangs low, adding a touch of mystique to the landscape. As you ascend along the Kyeema Track, the world transforms around you, with towering mountain ashes reaching towards the sky and a carpet of ferns beneath your feet. This trail is a sensory experience, filled with the rich aroma of eucalyptus and the melodious chorus of birdlife. The climax of this hike is the arrival at Bourke's Lookout, a vantage point that offers spectacular panoramic views of Melbourne's skyline against the backdrop of the vast plains below. On a clear day, the contrast between the city's architectural achievements and the natural splendor of the surrounding landscape is breathtaking. The Kyeema Track to Bourke's Lookout is not just a hike; it's a journey that captures the essence of Victoria's natural beauty, providing a peaceful retreat and a moment of awe at the summit.",50,1,"Eucalypt Forests, Fern Gullies, Kangaroos, Echidnas, Cockatoos, Kookaburras."
Lerderderg Gorge,8.4,375,440,2.31,one way,"The Lerderderg Gorge, carved deep into the landscape west of Melbourne, is a rugged and wild testament to the raw power of nature. This dramatic gorge, with its steep, rocky walls and the Lerderderg River running through its heart, offers adventurers a myriad of experiences - from serene riverside walks to challenging hikes up steep escarpments. The landscape here changes with the seasons; in the wetter months, the river swells and waterfalls appear as if by magic, while the dryer times reveal rock pools and sandy banks perfect for quiet contemplation. The gorge is a haven for wildlife, with the calls of birds echoing off the cliffs and kangaroos often seen grazing in quieter spots. Hiking through Lerderderg Gorge is an immersion into a primeval world, where the hustle of modern life fades away, leaving only the timeless beauty of the Australian bush. It's a place that challenges the body and refreshes the spirit, inviting those who traverse its paths to connect with the land on a profound level.",70,1.25,"Eucalypt Forests, Fern Gullies, Kangaroos, Echidnas, Cockatoos, Kookaburras."
Lilydale - Warburton Rail Trail,38.1,452,231,8.37,closed loop,"The Lilydale to Warburton Rail Trail is a captivating journey through the heart of the Yarra Valley, transforming the heritage of an old railway line into a picturesque path that weaves through some of Victoria's most stunning landscapes. As you embark on this trail, you're greeted by the charming vistas of rolling hills, vineyards stretching towards the horizon, and patches of native bushland, echoing with the songs of local birdlife. The trail's relatively gentle grade makes it accessible to walkers and cyclists alike, inviting a leisurely pace that allows for the full appreciation of the serene surroundings. Historic stations along the way have been repurposed into quaint cafes and rest stops, providing delightful pauses to enjoy the local produce and hospitality. Crossing over old bridges and through historic tunnels adds a touch of adventure and nostalgia to the journey, making the path from Lilydale to Warburton not just a trail, but a narrative of history, community, and natural beauty. It's an invitation to slow down and savor the journey, offering a unique way to experience the heart of the Yarra Valley.",35,0.75,"Eucalypt Forests, Fern Gullies, Kangaroos, Echidnas, Cockatoos, Kookaburras."
Lysterfield Lake Loop,5.7,83,101,1.28,closed loop,"The Lysterfield Lake Loop is a scenic trail that encircles the tranquil waters of Lysterfield Lake, nestled within a picturesque park just a stone's throw from Melbourne. This loop is a haven for nature lovers and outdoor enthusiasts, offering a peaceful retreat amidst the hustle and bustle of city life. The trail gently winds its way around the lake, through varied landscapes that include lush forests, open grasslands, and quiet beaches. The path is frequented by joggers, cyclists, and walkers, making it a vibrant community space where people come to recharge and reconnect with nature. Along the way, numerous lookout points offer stunning views of the lake, with its calm waters reflecting the sky and surrounding foliage. The lake itself is a hub of activity, with opportunities for kayaking, swimming, and bird-watching, as the area is home to an array of wildlife. The Lysterfield Lake Loop is not just a trail but a destination for relaxation, adventure, and the simple joy of being outdoors, providing a perfect escape for those seeking tranquility and natural beauty.",35,0.75,"Eucalypt Forests, Fern Gullies, Kangaroos, Echidnas, Cockatoos, Kookaburras."
